code,brand,product,source,isSeries
525411423B,Nestlé Lactogen,力多精1段 900g,CN_DOMESTIC,false
525411423U,Nestlé Lactogen,力多精1段 400g,CN_DOMESTIC,false
525311423U,Nestlé Lactogen,力多精2段 400g,CN_DOMESTIC,false
525411423T,Nestlé Lactogen,力多精2段 400g,CN_DOMESTIC,false
528611423U,Nestlé Lactogen,力多精2段 400g,CN_DOMESTIC,false
525411423A,Nestlé Lactogen,力多精2段 900g,CN_DOMESTIC,false
528511423B,Nestlé Lactogen,力多精2段 900g,CN_DOMESTIC,false
530311423A,Nestlé Lactogen,力多精3段 900g,CN_DOMESTIC,false
530311423B,Nestlé Lactogen,力多精3段 900g,CN_DOMESTIC,false
526811423A,Nestlé NAN SUPREMEpro,铂初能恩1段 850g,CN_DOMESTIC,false
526911423B,Nestlé NAN SUPREMEpro,铂初能恩2段 200g,CN_DOMESTIC,false
526711423C,Nestlé NAN SUPREMEpro,铂初能恩2段 850g,CN_DOMESTIC,false
526711423B,Nestlé NAN SUPREMEpro,铂初能恩3段 850g,CN_DOMESTIC,false
526911423A,Nestlé NAN SUPREMEpro,铂初能恩3段 200g,CN_DOMESTIC,false
524611423A,Nestlé NAN HA,舒宜能恩1段 900g,CN_DOMESTIC,false
524611423C,Nestlé NAN HA,舒宜能恩1段 900g,CN_DOMESTIC,false
524511423A,Nestlé NAN HA,舒宜能恩2段 900g,CN_DOMESTIC,false
524511423B,Nestlé NAN HA,舒宜能恩2段 900g,CN_DOMESTIC,false
52461142CA,Nestlé NAN HA,舒宜能恩2段 900g,CN_DOMESTIC,false
518111423T,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
518211423T,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
524411423T,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
524411423U,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
524511423T,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
524611423T,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
528511423T,Nestlé NAN HA,舒宜能恩3段 3x400g,CN_DOMESTIC,false
518111423A,Nestlé NAN HA,舒宜能恩3段 900g,CN_DOMESTIC,false
524511423C,Nestlé NAN HA,舒宜能恩3段 900g,CN_DOMESTIC,false
528511423C,Nestlé NAN HA,舒宜能恩3段 900g,CN_DOMESTIC,false
527111423A,Wyeth S-26,膳儿加 800g,CN_DOMESTIC,false
51550742F1,Nestlé BEBA,Supreme 2 800g,CN_CROSS,false
51550742F2,Nestlé BEBA,Supreme 2 800g,CN_CROSS,false
51230742F1,Nestlé BEBA,Supreme 3 830g,CN_CROSS,false
51540742F1,Nestlé BEBA,Supreme 3 830g,CN_CROSS,false
52850742F2,Nestlé BEBA,Supreme 3 830g,CN_CROSS,false
51460742F2,Nestlé BEBA,Supreme 1 800g,CN_CROSS,false
51470742F1,Nestlé BEBA,Supreme 1 800g,CN_CROSS,false
51720742F2,Nestlé BEBA,Supreme 1 800g,CN_CROSS,false
51690742F3,Nestlé BEBA,Expert HA1 800g,CN_CROSS,false
53210742D1,Nestlé BEBA,Supreme 3 200ml,CN_CROSS,false
53350742D1,Nestlé BEBA,Supreme 3 200ml,CN_CROSS,false
51190017C2,Wyeth Illuma,启赋未来1段 800g,CN_CROSS,false
51550017C3,Wyeth Illuma,启赋未来1段 800g,CN_CROSS,false
51540017A4,Wyeth Illuma,启赋未来1段 370g,CN_CROSS,false
51400017C1,Wyeth Illuma,启赋未来2段 800g,CN_CROSS,false
52580017C2,Wyeth Illuma,启赋未来2段 800g,CN_CROSS,false
51380017A1,Wyeth Illuma,启赋未来2段 370g,CN_CROSS,false
52590017A2,Wyeth Illuma,启赋未来2段 370g,CN_CROSS,false
52470017C3,Wyeth Illuma,启赋未来3段 800g,CN_CROSS,false
51640017V1,Wyeth Illuma,启赋双萃1段 800g,CN_CROSS,false
52850017C3,Wyeth Illuma,启赋双萃2段 800g,CN_CROSS,false
52910017C1,Wyeth Illuma,启赋双萃3段 800g,CN_CROSS,false
51250017C1,Nestlé NAN,能恩全护A2 1段,CN_CROSS,false
51260017C1,Nestlé NAN,能恩全护A2 2段,CN_CROSS,false
52930017C3,Nestlé NAN,能恩全护A2 2段,CN_CROSS,false
51260017C2,Nestlé NAN,能恩全护A2 3段,CN_CROSS,false
51660742F2,Wyeth Illuma HA,启赋敏适HA 1段,CN_CROSS,false
51670742C2,Wyeth Illuma HA,启赋敏适HA 2段,CN_CROSS,false
51680742C1,Wyeth Illuma HA,启赋敏适HA 2段,CN_CROSS,false
52070742F3,Wyeth Illuma HA,启赋敏适HA 3段,CN_CROSS,false
51620017C1,Wyeth Illuma Organic,启赋有机2段,CN_CROSS,false
51620017C2,Wyeth Illuma Organic,启赋有机3段,CN_CROSS,false
52070742F4,Nestlé NAN,能恩啟護 3段,CN_CROSS,false
52970742F1,Nestlé NAN,能恩全護 1段,CN_CROSS,false
52970742C1,Nestlé NAN,能恩全護 1段,CN_CROSS,false
53070742F1,Nestlé NAN,能恩全護 2段,CN_CROSS,false
52770017V2,Nestlé NAN,能恩全護 3段,CN_CROSS,false
53030017C2,Nestlé NAN,能恩全護 4段,CN_CROSS,false
51670742F2,Nestlé NAN,能恩啟護 1段,CN_CROSS,false
51450742F1,SMA,Advanced First Milk 800g,UK_FSA,false
52319722BA,SMA,Advanced First Milk 800g,UK_FSA,false
52819722AA,SMA,Advanced First Milk 800g,UK_FSA,false
52879722AA,SMA,Advanced Follow-on 800g,UK_FSA,false
51240742F2,SMA,Advanced Follow-on 800g,UK_FSA,false
51890742F2,SMA,Advanced Follow-on 800g,UK_FSA,false
51170346AA,SMA,First Infant Milk 800g,UK_FSA,false
51170346AB,SMA,First Infant Milk 800g,UK_FSA,false
51340346AB,SMA,First Infant Milk 800g,UK_FSA,false
51580346AA,SMA,First Infant Milk 800g,UK_FSA,false
