code,brand,product,source,isSeries
5100080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5100080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5101080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5101080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5102080621,Nestlé Group,Nidal Nidalgest 1 800g,FR_NESTLE,False
5102080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5103080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5103080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5104080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5104080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5105080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5105080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5106080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5106080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
51070017Y2,Nestlé Group,Alfamino Infant 400g (AU/NZ),AU_FSANZ,False
5107080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5107080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
51080017Y1,Nestlé Group,Alfamino Infant 400g (AU/NZ),AU_FSANZ,False
5108080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5108080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5109080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5109080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
511000017Y,Nestlé Group,Global Series Recall,GLOBAL,True
5110080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5110080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
511010017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511020017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511030017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511040017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511050017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511060017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511070017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511080017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511090017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511100017Y,Nestlé Group,Global Series Recall,GLOBAL,True
5111080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5111080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
511110017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511120017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511130017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511140017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511150017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511160017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511170017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511180017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511190017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511200017Y,Nestlé Group,Global Series Recall,GLOBAL,True
5112080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5112080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
511210017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511220017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511230017Y,Nestlé Group,Global Series Recall,GLOBAL,True
511240017Y,Nestlé Group,Global Series Recall,GLOBAL,True
5113080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5113080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5114080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5114080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
51150346AB,Nestlé Group,SMA Lactose Free 400g,UK_FSA,False
5115080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5115080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5116080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5116080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
51170346AA,Nestlé Group,SMA First Milk 800g,UK_FSA,False
51170346AB,Nestlé Group,SMA First Milk 800g,UK_FSA,False
5117080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5117080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
5118080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5118080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
51190017C2,Nestlé Group,Illuma Future 1 800g,CN_CROSS,False
5119080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5119080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
512000017Y,Nestlé Group,Global Series Recall,GLOBAL,True
51200017Y3,Nestlé Group,SMA Alfamino 400g,UK_FSA,False
5120080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5120080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
512010017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512020017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512030017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512040017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512050017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512060017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512070017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512080017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512090017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512100017Y,Nestlé Group,Global Series Recall,GLOBAL,True
51210017Y1,Nestlé Group,SMA Alfamino 400g,UK_FSA,False
5121080621,Nestlé Group,Guigoz AR/Gest/Optipro,FR_NESTLE,False
5121080661,Nestlé Group,NAN/S-26 MENA Range,MENA_VERIFY,False
512110017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512120017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512130017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512140017Y,Nestlé Group,Global Series Recall,GLOBAL,True
512150017Y,Nestlé Group,Global Series Recall,GLOBAL,True
